AA, 0.70, #Non-Front
AE, 0.49, #Front
AH, 0.70, #Non-Front
AO, 0.70, #Non-Front
AW, 0.70, #Non-Front
AX, 0.49, #Front
AXR, 0.70, #Non-Front
AY, 0.49, #Front
EH, 0.49, #Front
ER, 0.49, #Front
EY, 0.70, #Non-Front
IH,  0.49, #Front
IX,  0.49, #Front
IY,  0.49, #Front
OW,  0.70, #Non-Front
OY,  0.70, #Non-Front
UH,  0.70, #Non-Front
UW,  0.70, #Non-Front
UX,  0.70, #Non-Front
B, 0.69, #voiced labial
CH, 0.11, #voiceless alveolar
D, 0.64, #voiced alveolar
DH, 0.4, #voiced dental 
DX, 0.64, #voiced alveolar
EL, 0.64, #voiced alveolar
EM, 0.69, #voiced labial
EN, 0.64, #voiced alveolar
F, 0.75, #voiceless labial
G, 0.72, #voiced velar
HH, 0.3, #voiceless glottal (were pretending it's velar)
H, 0.3, #voiceless glottal (were pretending it's velar)
JH, 0.64, #voiced alveolar
K, 0.3, #voiceless velar
L, 0.64, #voiced alveolar
M, 0.69, #voiced labial
N, 0.64, #voiced alveolar
NX, 0.72, #voiced velar
NG, 0.72, #voiced velar
NX, 0.64, #voiced alveolar
P, 0.75, #voiceless labial
Q, 0.3, #voiceless glottal (this is a weird ridiculous one; were pretending velar)
R, 0.64, #voiced alveolar
S, 0.11, #voiceless alveolar
SH, 0.3, #voiceless postalveolar (were pretending it's velar)
T, 0.11, #voiceless alveolar
TH, 0.64, #voiceless dental (tricky one to properly assign, placeholder)
V, 0.69, #voiced labial
W, 0.72, #voiced velar
WH, 0.3, #voiceless velar
Y, 0.72, #voiced velar
Z, 0.64, #voiced alveolar
ZH, 0.72, #voiced velar
